sheet_index,Supermarket,lat,lng,proximity_score,nearest_km,proximity_tertile,high_comp,competition_group
57,Ekra Enterprise #3 Morata,-9.408285046,147.1861231,10.06957588405784,.0298513686921979,Low,0,Low/Mid Competition
58,Ekra #7 Morata,-9.408622224,147.1861738,10.15082732005237,.0379027611371379,Low,0,Low/Mid Competition
59,Best Gear,-9.440722736,147.1944733,21.06948732063993,.1637430320729107,High,1,High Competition
60,Central supermarket,-9.441948030000001,147.1953013,21.56962010753291,.0830301667108046,High,1,High Competition
61,Skel Wan supermarket,-9.442622839,147.1947189,21.85259109043184,.011950496182448,High,1,High Competition
62,Eliseo Wholesale,-9.443177221999999,147.1951335,21.79209782364146,.0639221619148068,High,1,High Competition
63,Gordon's Wholesale,-9.44263011,147.1948276,21.85489684744897,.0105778806286872,High,1,High Competition
64,Jade Island,-9.442641016,147.1949234,21.84576184446337,.0105778806286872,High,1,High Competition
65,Plazawan,-9.442539226999999,147.1957637,21.58674960041613,.0830301667108046,High,1,High Competition
66,Eliseo Erima,-9.437781555000001,147.2039459,17.04367368893784,.0466264599567599,High,1,High Competition
67,Bhuiya enterprise ltd- Erima Branch,-9.43838,147.203,17.60241163568236,.123261170851712,High,1,High Competition
68,Supreme supermarket,-9.453689376,147.2064327,17.97780091902665,.0524627056664397,High,1,High Competition
69,Azmir Super Market,-9.45379,147.2069,17.84329719253052,.0524627056664397,High,1,High Competition
70,Happy supermarket,-9.453847732,147.2074179,17.64278919722989,.0483454118932689,High,1,High Competition
71,Xushang Supermarket,-9.453886625999999,147.2078569,17.42814515503887,.0483454118932689,High,1,High Competition
72,Good link wholesale and retail,-9.477906584999999,147.1990029,16.30760524083077,.0914137805979611,Medium,0,Low/Mid Competition
73,Shopsmart manu,-9.478113394999999,147.1998813,16.26539358274008,.0498616914226293,Medium,0,Low/Mid Competition
74,Kwik Mart Manu,-9.477671904999999,147.1998017,16.38725232301748,.0498616914226293,Medium,0,Low/Mid Competition
75,RH Kwik Mart Rainbow,-9.40132,147.1609,8.282583252922787,.0916123821014145,Low,0,Low/Mid Competition
76,Ivy Waikele,-9.379282379999999,147.1601048,4.794877788733978,.0630059609773359,Low,0,Low/Mid Competition
77,Ekra Waikele,-9.378828133000001,147.1604481,4.71475520316754,.0630059609773359,Low,0,Low/Mid Competition
79,Badili Mart,-9.480487038,147.1763827,11.78137998511555,.1587095793125779,Medium,0,Low/Mid Competition
80,Way back supermarket Hanuabada,-9.450139252,147.1514448,7.901166824408411,.0973063831168962,Low,0,Low/Mid Competition
81,New Star Hanuabada,-9.450575231,147.1506756,7.694603202433572,.0973063831168962,Low,0,Low/Mid Competition
82,Maxim Trading Sabama,-9.488400889999999,147.1928837,11.69061991029291,.1011245563415542,Medium,0,Low/Mid Competition
83,Unity market Sabama,-9.488882727,147.1936657,11.55652684777276,.1011245563415542,Medium,0,Low/Mid Competition
84,Shop and save Tokarara,-9.430285397,147.168425,13.03974447607412,.0711932035521058,Medium,0,Low/Mid Competition
