sheet_index,high_comp,pct,lo,hi,is_pooled,store_num,y
,1,-7.345767774579192,-12.4956257122381,-1.892827425395882,1,,-.45
,0,-5.467123954123498,-9.634012082229548,-1.10809543036382,1,,-.95
27,1,-10.2327800369222,-15.04674043178357,-5.146031819662023,0,1,1
26,1,-6.633605272254128,-12.99535008372067,.1933077467181743,0,2,2
12,0,-9.410938646284173,-13.29052029731979,-5.357775584788471,0,3,3
1,0,-7.547087102897299,-12.59660262382328,-2.205848287894618,0,4,4
38,0,-5.358970248047468,-11.24452894647127,.9168720101548677,0,5,5
6,0,-5.210999043830444,-9.71115273341826,-.4865498421942949,0,6,6
10,0,-2.350488431757924,-9.106350117649797,4.907516882186935,0,7,7
