category,actual,a_lo,a_hi,expert,e_lo,e_hi
Q1,7.9883547493108,7.034895420074463,9.005269050598145,11.39561887664988,9.797536982316057,12.99370077098369
Q2,8.461576859632203,7.471536159515381,9.338692665100098,10.12582607043834,9.050411786470436,11.20124035440624
Q3,9.423022385412688,8.503686904907227,10.52794742584229,10.25943232424381,9.216871751122103,11.30199289736552
Q4,14.82895241520671,13.13225555419922,16.61722755432129,8.280247166967749,7.330376948157978,9.23011738577752
Q5,23.03435732670133,21.16960716247559,25.2380256652832,8.73086029452465,7.295921670762294,10.16579891828701
Formal stores,36.26373626373627,,,51.20801526717558,47.84139049343345,54.5746400409177
