group,code,item,month,month_label,mean_expenditure,n_respondents
Exempt,105,Rice,4,Apr,29.55052511108119,1061
Exempt,105,Rice,5,May,30.33573298429319,764
Exempt,105,Rice,6,Jun,28.83031227566403,796
Exempt,105,Rice,7,Jul,28.71212433100041,694
Exempt,104,Cooking Oil,4,Apr,11.03591625151474,1061
Exempt,104,Cooking Oil,5,May,11.32923522812266,764
Exempt,104,Cooking Oil,6,Jun,10.91268844221105,796
Exempt,104,Cooking Oil,7,Jul,10.47931247426925,694
Exempt,116,Chicken,4,Apr,7.179682240473946,1061
Exempt,116,Chicken,5,May,8.386873597606582,764
Exempt,116,Chicken,6,Jun,5.437365398420675,796
Exempt,116,Chicken,7,Jul,4.72354878550844,694
Exempt,107,Tinned Fish,4,Apr,7.049818230779588,1061
Exempt,107,Tinned Fish,5,May,7.395661929693342,764
Exempt,107,Tinned Fish,6,Jun,7.166457286432161,796
Exempt,107,Tinned Fish,7,Jul,6.734252778921366,694
Exempt,110,Flour,4,Apr,3.065234953547865,1061
Exempt,110,Flour,5,May,3.975224382946896,764
Exempt,110,Flour,6,Jun,4.178840631730079,796
Exempt,110,Flour,7,Jul,3.046006587072869,694
Exempt,108,Tea,4,Apr,1.400228894573852,1061
Exempt,108,Tea,5,May,1.395661929693343,764
Exempt,108,Tea,6,Jun,1.52745872218234,796
Exempt,108,Tea,7,Jul,1.888122684232194,694
Exempt,131,Noodles,4,Apr,.1987343476504645,1061
Exempt,131,Noodles,5,May,2.354338070306657,764
Exempt,131,Noodles,6,Jun,2.337491026561378,796
Exempt,131,Noodles,7,Jul,2.19164265129683,694
Exempt,132,Biscuits,4,Apr,.4150397199407567,1061
Exempt,132,Biscuits,5,May,1.37294315632012,764
Exempt,132,Biscuits,6,Jun,1.293251974156497,796
Exempt,132,Biscuits,7,Jul,1.126080691642651,694
