Response,Freq,Percent,Cum
Not at all,509,37.98507462686567,37.98507462686567
A little,537,40.07462686567164,78.05970149253731
Somewhat,249,18.58208955223881,96.64179104477611
Very Familiar,45,3.358208955223881,100
